date,annotation_label,category,world_usa,eventid,annotation_color
12/10/2019,Merchant at seafood market falls ill. Beginning point for an increasing number of patients linked to the Hua’nan seafood market in Wuhan,,both,1,#505158
12/30/2019,Dr. Li sends message to fellow doctors warning about the outbreak,,world,2,#505158
12/31/2019,A pneumonia of unknown cause detected was first reported to the WHO Country Office in China,,world,3,#505158
1/1/2020,Hua’nan seafood market in Wuhan closed,,world,4,#505158
1/2/2020,,,,5,
1/3/2020,,,,6,
1/4/2020,,,,7,
1/5/2020,,,,8,
1/6/2020,,,,9,
1/7/2020,Authorities from China confirm the identity of the new virus,,both,10,#505158
1/8/2020,,,,11,
1/9/2020,,,,12,
1/10/2020,,,,13,
1/11/2020,China reports first death from new virus,,both,14,#505158
1/12/2020,Chinese officials share the genome,,world,15,#505158
1/13/2020,First case reported outside of China in Thailand,,world,16,#505158
1/14/2020,,,,17,
1/15/2020,,,,18,
1/16/2020,,,,19,
1/17/2020,,,,20,
1/18/2020,Wuhan’s annual Lunar New Year banquet. Large crowds gather,,world,21,#505158
1/19/2020,,,,22,
1/20/2020,China declares the outbreak an emergency,,world,23,#505158
1/21/2020,First US case reported by WA state,,usa,24,#505158
1/22/2020,,,,25,
1/23/2020,Chinese authorities quarantine Wuhan,,world,26,#505158
1/24/2020,China celebrates Lunar New Year begins. Many cities call off activities,,world,27,#505158
1/25/2020,Shanghai Disneyland closes due to coronavirus,,world,28,#505158
1/26/2020,,,,29,
1/27/2020,,,,30,
1/28/2020,,,,31,
1/29/2020,,,,32,
1/30/2020,The outbreak was declared a Public Health Emergency of International Concern,,both,33,#505158
1/31/2020,US and Italy restrict travel to China,,both,34,#505158
2/1/2020,,,,35,
2/2/2020,First death outside of China reported in Philippines,,world,36,#505158
2/3/2020,,,,37,
2/4/2020,,,,38,
2/5/2020,,,,39,
2/6/2020,,,,40,
2/7/2020,,,,41,
2/8/2020,,,,42,
2/9/2020,China death toll passes 2002-2003 SARS epidemic,,world,43,#505158
2/10/2020,,,,44,
2/11/2020,Disease officially named COVID-19 and the virus officially named SARS-CoV-2,,both,45,#505158
2/12/2020,Cases start to spike in South Korea,,world,46,#505158
2/13/2020,China changes how cases are reported,,world,47,#505158
2/14/2020,,,,48,
2/15/2020,,,,49,
2/16/2020,,,,50,
2/17/2020,,,,51,
2/18/2020,,,,52,
2/19/2020,First cases reported in Iran,,world,53,#505158
2/20/2020,,,,54,
2/21/2020,,,,55,
2/22/2020,,,,56,
2/23/2020,,,,57,
2/24/2020,,,,58,
2/25/2020,,,,59,
2/26/2020,,,,60,
2/27/2020,Fed cuts rates,finance,usa,61,#505158
2/28/2020,,,,62,
2/29/2020,First US death reported by WA state,,usa,63,#505158
3/1/2020,,,,64,
3/2/2020,,,,65,
3/3/2020,,,,66,
3/4/2020,CDC removes restrictions on limited coronavirus testing,,usa,67,#505158
3/5/2020,,,,68,
3/6/2020,,,,69,
3/7/2020,,,,70,
3/8/2020,Italy puts entire country on lockdown.,,world,71,#505158
3/9/2020,,,,72,
3/10/2020,,,,73,
3/11/2020,COVID-19 outbreak characterized as a pandemic by WHO,,both,74,#505158
3/12/2020,NBA suspends season & NCAA cancels March madness due to COVID-19 concerns,sports,usa,75,#505158
3/13/2020,US declares national emergency,,usa,76,#505158
3/14/2020,,,,77,
3/15/2020,President Trump addresses the nation about coronavirus,,usa,78,#505158
3/15/2020,Fed cuts rates to 0,finance,usa,78,#505158
3/16/2020,President Trump announces “Coronavirus guidelines” 15 days to slow the spread.,,usa,79,#505158
3/17/2020,France puts in place a nationwide lockdown,,world,80,#505158
3/18/2020,,,,81,
3/19/2020,California becomes the first state to issue a shelter in place,,usa,82,#505158
3/20/2020,NY state issues shelter in place,,usa,83,#505158
3/21/2020,,,,84,
3/22/2020,,,,85,
3/23/2020,WA state issues shelter in place,,usa,86,#505158
3/24/2020,Tokyo Olympics delayed until 2021,sports,world,87,#505158
3/25/2020,,,,88,
3/26/2020,,,,89,
3/27/2020,,,,90,
3/28/2020,,,,91,
3/29/2020,,,,92,
3/30/2020,,,,93,
3/31/2020,,,,94,
4/1/2020,,,,95,
4/2/2020,,,,96,
4/3/2020,,,,97,
4/4/2020,,,,98,
4/5/2020,,,,99,
4/6/2020,,,,100,
4/7/2020,,,,101,
4/8/2020,,,,102,
4/9/2020,,,,103,
4/10/2020,,,,104,
4/11/2020,,,,105,
4/12/2020,,,,106,
4/13/2020,,,,107,
4/14/2020,,,,108,
4/15/2020,,,,109,
4/16/2020,,,,110,
4/17/2020,,,,111,
4/18/2020,,,,112,
4/19/2020,,,,113,
4/20/2020,,,,114,
4/21/2020,,,,115,
4/22/2020,,,,116,
4/23/2020,,,,117,
4/24/2020,,,,118,
4/25/2020,,,,119,
4/26/2020,,,,120,
4/27/2020,,,,121,
4/28/2020,,,,122,
4/29/2020,,,,123,
4/30/2020,,,,124,
5/1/2020,,,,125,
5/2/2020,,,,126,
5/3/2020,,,,127,
5/4/2020,,,,128,
5/5/2020,,,,129,
5/6/2020,,,,130,
5/7/2020,,,,131,
5/8/2020,,,,132,
5/9/2020,,,,133,
5/10/2020,,,,134,
5/11/2020,,,,135,
5/12/2020,,,,136,
5/13/2020,,,,137,
5/14/2020,,,,138,
5/15/2020,,,,139,
5/16/2020,,,,140,
5/17/2020,,,,141,
5/18/2020,,,,142,
5/19/2020,,,,143,
5/20/2020,,,,144,
5/21/2020,,,,145,
5/22/2020,,,,146,
5/23/2020,,,,147,
5/24/2020,,,,148,
5/25/2020,,,,149,
5/26/2020,,,,150,
5/27/2020,,,,151,
5/28/2020,,,,152,
5/29/2020,,,,153,
5/30/2020,,,,154,
5/31/2020,,,,155,
6/1/2020,,,,156,
6/2/2020,,,,157,
6/3/2020,,,,158,
6/4/2020,,,,159,
6/5/2020,,,,160,
6/6/2020,,,,161,
6/7/2020,,,,162,
6/8/2020,,,,163,
6/9/2020,,,,164,
6/10/2020,,,,165,
6/11/2020,,,,166,
6/12/2020,,,,167,
6/13/2020,,,,168,
6/14/2020,,,,169,
6/15/2020,,,,170,
6/16/2020,,,,171,
6/17/2020,,,,172,
6/18/2020,,,,173,
6/19/2020,,,,174,
6/20/2020,,,,175,
6/21/2020,,,,176,
6/22/2020,,,,177,
6/23/2020,,,,178,
6/24/2020,,,,179,
6/25/2020,,,,180,
6/26/2020,,,,181,
6/27/2020,,,,182,
6/28/2020,,,,183,
6/29/2020,,,,184,
6/30/2020,,,,185,
7/1/2020,,,,186,
7/2/2020,,,,187,
7/3/2020,,,,188,
7/4/2020,,,,189,
7/5/2020,,,,190,
7/6/2020,,,,191,
7/7/2020,,,,192,
7/8/2020,,,,193,
7/9/2020,,,,194,
7/10/2020,,,,195,
7/11/2020,,,,196,
7/12/2020,,,,197,
7/13/2020,,,,198,
7/14/2020,,,,199,
7/15/2020,,,,200,
7/16/2020,,,,201,
7/17/2020,,,,202,
7/18/2020,,,,203,
7/19/2020,,,,204,
7/20/2020,,,,205,
7/21/2020,,,,206,
7/22/2020,,,,207,
7/23/2020,,,,208,
7/24/2020,,,,209,
7/25/2020,,,,210,
7/26/2020,,,,211,
7/27/2020,,,,212,
7/28/2020,,,,213,
7/29/2020,,,,214,
7/30/2020,,,,215,
7/31/2020,,,,216,
8/1/2020,,,,217,
8/2/2020,,,,218,
8/3/2020,,,,219,
8/4/2020,,,,220,
8/5/2020,,,,221,
8/6/2020,,,,222,
8/7/2020,,,,223,
8/8/2020,,,,224,
8/9/2020,,,,225,
8/10/2020,,,,226,
8/11/2020,,,,227,
8/12/2020,,,,228,
8/13/2020,,,,229,
8/14/2020,,,,230,
8/15/2020,,,,231,
8/16/2020,,,,232,
8/17/2020,,,,233,
8/18/2020,,,,234,
8/19/2020,,,,235,
8/20/2020,,,,236,
8/21/2020,,,,237,
8/22/2020,,,,238,
8/23/2020,,,,239,
8/24/2020,,,,240,
8/25/2020,,,,241,
8/26/2020,,,,242,
8/27/2020,,,,243,
8/28/2020,,,,244,
8/29/2020,,,,245,
8/30/2020,,,,246,
8/31/2020,,,,247,
9/1/2020,,,,248,
9/2/2020,,,,249,
9/3/2020,,,,250,
9/4/2020,,,,251,
9/5/2020,,,,252,
9/6/2020,,,,253,
9/7/2020,,,,254,
9/8/2020,,,,255,
9/9/2020,,,,256,
9/10/2020,,,,257,
9/11/2020,,,,258,
9/12/2020,,,,259,
9/13/2020,,,,260,
9/14/2020,,,,261,
9/15/2020,,,,262,
9/16/2020,,,,263,
9/17/2020,,,,264,
9/18/2020,,,,265,
9/19/2020,,,,266,
9/20/2020,,,,267,
9/21/2020,,,,268,
9/22/2020,,,,269,
9/23/2020,,,,270,
9/24/2020,,,,271,
9/25/2020,,,,272,
9/26/2020,,,,273,
9/27/2020,,,,274,
9/28/2020,,,,275,
9/29/2020,,,,276,
9/30/2020,,,,277,
10/1/2020,,,,278,
10/2/2020,,,,279,
10/3/2020,,,,280,
10/4/2020,,,,281,
10/5/2020,,,,282,
10/6/2020,,,,283,
10/7/2020,,,,284,
10/8/2020,,,,285,
10/9/2020,,,,286,
10/10/2020,,,,287,
10/11/2020,,,,288,
10/12/2020,,,,289,
10/13/2020,,,,290,
10/14/2020,,,,291,
10/15/2020,,,,292,
10/16/2020,,,,293,
10/17/2020,,,,294,
